Loc_ID,Longitudes.x,Latitudes.x,lc_class
s21,-87.792,41.8823,2
s15,-87.8047,41.8419,2
s11,-87.8104,41.8305,1
s2,-87.8194,41.7374,2
s28,-87.8227,41.9058,1
s20,-87.8258,41.8755,1
s23,-87.8264,41.8933,1
s24,-87.8264,41.8934,1
s12,-87.8399,41.8308,1
s7,-87.8658,41.8102,2
s4,-87.8659,41.7414,1
s17,-87.8809,41.8619,2
s3,-87.8851,41.7397,1
s16,-87.8883,41.8559,1
s9,-87.8939,41.8238,1
s6,-87.8966,41.7874,1
s1,-87.9062,41.7246,1
s22,-87.9062,41.8871,2
